Filename,barrios-ba.es.json,,,,
Plugin,Barrios,,,,
Tags generales,barrio,,,,
,,,geo,,
,,,,,
token,alias,tags,lat,long,address
,,,,,
CHACARITA,,,,,barrio CHACARITA
PATERNAL,,,,,barrio PATERNAL
VILLA CRESPO,,,,,barrio VILLA CRESPO
VILLA DEL PARQUE,,,,,barrio VILLA DEL PARQUE
ALMAGRO,,,,,barrio ALMAGRO
CABALLITO,,,,,barrio CABALLITO
DIQUE 3,,,,,barrio DIQUE 3
VILLA SANTA RITA,santa rita,,,,barrio VILLA SANTA RITA
MONTE CASTRO,,,,,barrio MONTE CASTRO
VILLA REAL,,,,,barrio VILLA REAL
FLORES,,,,,barrio FLORES
FLORESTA,,,,,barrio FLORESTA
CONSTITUCION,,,,,barrio CONSTITUCION
SAN CRISTOBAL,,,,,barrio SAN CRISTOBAL
BOEDO,,,,,barrio BOEDO
VELEZ SARSFIELD,,,,,barrio VELEZ SARSFIELD
VILLA LURO,,,,,barrio VILLA LURO
PARQUE PATRICIOS,,,,,barrio PARQUE PATRICIOS
MATADEROS,,,,,barrio MATADEROS
VILLA LUGANO,,,,,barrio VILLA LUGANO
ESCOLLERA EXTERIOR,,,,,barrio ESCOLLERA EXTERIOR
SAN TELMO,,,,,barrio SAN TELMO
SAAVEDRA,,,,,barrio SAAVEDRA
COGHLAN,,,,,barrio COGHLAN
VILLA URQUIZA,,,,,barrio VILLA URQUIZA
COLEGIALES,,,,,barrio COLEGIALES
BALVANERA,,,,,barrio BALVANERA
DIQUE 4,,,,,barrio DIQUE 4
VILLA GENERAL MITRE,"general mitre, gral mitre, gral. mitre",,,,barrio VILLA GENERAL MITRE
DIQUE 1,,,,,barrio DIQUE 1
PARQUE CHAS,,,,,barrio PARQUE CHAS
AGRONOMIA,,,,,barrio AGRONOMIA
VILLA ORTUZAR,,,,,barrio VILLA ORTUZAR
BARRACAS,,,,,barrio BARRACAS
PARQUE AVELLANEDA,,,,,barrio PARQUE AVELLANEDA
PARQUE CHACABUCO,,,,,barrio PARQUE CHACABUCO
NUEVA POMPEYA,,,,,barrio NUEVA POMPEYA
PALERMO,,,,,barrio PALERMO
VILLA RIACHUELO,,,,,barrio VILLA RIACHUELO
VILLA SOLDATI,,,,,barrio VILLA SOLDATI
VILLA PUEYRREDON,,,,,barrio VILLA PUEYRREDON
VILLA DEVOTO,,,,,barrio VILLA DEVOTO
LINIERS,,,,,barrio LINIERS
VERSALLES,,,,,barrio VERSALLES
PUERTO MADERO,madero,,,,barrio PUERTO MADERO
MONSERRAT,,,,,barrio MONSERRAT
SAN NICOLAS,,,,,barrio SAN NICOLAS
BELGRANO,,,,,barrio BELGRANO
RECOLETA,,,,,barrio RECOLETA
RETIRO,,,,,barrio RETIRO
NUÑEZ,,,,,barrio NUÑEZ
BOCA,,,,,barrio BOCA
DIQUE 2,,,,,barrio DIQUE 2